ticker,mention_count,volume_spike_ratio,avg_price_return_pct,pearson_r,pearson_p,snapshot_count
SAP,10,0.599,1.2255,0.945,0.055,29
LITE,30,1.1148,12.9387,0.8472,0.1528,27
NVDA,619,1.0345,0.5652,0.6203,0.018,64
MSFT,91,1.08,0.938,0.4969,0.144,51
MRVL,60,0.8859,3.6076,0.4889,0.2656,44
META,47,1.0999,0.6557,0.3816,0.2766,51
IBM,7,0.9127,-1.0089,0.3797,0.6203,29
CSCO,23,0.9358,-1.6503,0.355,0.645,29
MU,52,1.0659,-1.2429,0.3107,0.3822,62
ARM,81,0.7708,2.2448,0.2649,0.5659,41
TSM,168,1.0338,-0.5473,0.2431,0.5285,57
INTC,246,0.9709,1.7927,0.1468,0.7062,50
QCOM,15,0.6914,-0.1139,0.0972,0.8547,44
GOOGL,120,0.9935,0.168,0.0868,0.7885,63
ORCL,23,1.1542,1.1008,0.0201,0.9622,42
AMZN,70,1.246,0.3141,-0.0137,0.9646,63
TSLA,12,1.0432,-3.4188,-0.1179,0.824,42
AMD,217,0.8696,1.7003,-0.1736,0.6098,57
AVGO,43,0.9765,0.8452,-0.2438,0.5273,54
SNOW,7,0.7035,2.6434,-0.3444,0.6556,30
AAPL,19,0.9856,-0.1692,-0.4178,0.3031,48
COHR,47,0.7857,3.0895,-0.561,0.2468,36
DELL,11,0.813,1.4134,-0.5677,0.2399,35
MS,7,1.3396,-1.0543,-0.5876,0.2975,32
ASML,12,1.102,-0.5109,-0.7361,0.0592,43
NOW,7,0.9436,-0.6877,-0.9162,0.2625,22
JPM,6,0.8783,-0.0629,-0.9397,0.0176,38
AAOI,9,1.3174,,,,9
AKAM,3,0.8642,2.8485,,,7
AMAT,4,0.9838,,,,8
AMKR,6,0.6921,-0.5795,,,15
AMX,3,0.7892,3.0233,,,8
BCG,3,0.8901,,,,9
BESS,9,0.4393,-1.7241,,,8
CCD,3,0.8696,0.8865,,,8
CIEN,3,0.6693,0.8224,,,15
COP,6,0.6825,0.6347,,,7
CRDO,3,0.8562,2.3156,,,7
CRM,3,1.2222,-2.0723,,,16
CSL,3,1.1148,-1.0917,,,7
CTS,3,0.5831,,,,9
DASH,5,0.868,,,,9
DBI,3,2.0583,2.9619,,,7
DCI,6,0.6515,0.7685,,,12
DDOG,5,0.7261,4.5564,,,8
ELS,4,0.8697,-0.2207,,,13
ESS,3,0.513,,,,8
FICO,9,1.2588,-4.3269,,,7
IDE,3,0.7008,0.3241,,,7
KGS,3,0.9356,-0.2913,,,7
LEO,9,1.1865,-0.6299,,,8
MDB,4,0.7762,4.4286,,,17
MUX,3,0.8063,1.0225,,,7
NET,5,0.5029,2.2511,,,16
NFLX,3,0.9979,-0.927,,,6
PBR,3,0.6408,,,,8
PD,4,0.8045,,,,16
PLG,3,0.8766,1.4706,,,8
RFI,3,0.7729,,,,9
RMBS,28,0.7169,-0.0647,,,7
SASS,3,3.0,0.913,,,6
SID,3,1.3351,1.4815,,,7
SOLS,3,3.1604,10.9056,,,6
SPOT,3,1.0906,-2.1923,,,6
SSNLF,192,,0.0,,,57
TDC,6,1.0206,1.7163,,,7
TER,3,0.8181,1.1214,,,8
TTD,3,1.3926,-5.9015,,,6
UBER,5,0.7772,,,,18
WOLF,16,0.8424,,,,8
ZM,3,0.8064,4.1831,,,16
