ticker,slug_count,slugs,total_mentions
NVDA,7,"newsletter.semianalysis.com,www.citriniresearch.com,www.techinvestments.io,tacticzhazel.substack.com,cloudedjudgement.substack.com,damnang2.substack.com,taekim.substack.com",619
GOOGL,7,"newsletter.semianalysis.com,www.citriniresearch.com,www.techinvestments.io,tacticzhazel.substack.com,cloudedjudgement.substack.com,damnang2.substack.com,taekim.substack.com",120
MSFT,7,"newsletter.semianalysis.com,www.citriniresearch.com,www.techinvestments.io,tacticzhazel.substack.com,cloudedjudgement.substack.com,damnang2.substack.com,taekim.substack.com",91
AMZN,7,"newsletter.semianalysis.com,www.citriniresearch.com,www.techinvestments.io,tacticzhazel.substack.com,cloudedjudgement.substack.com,damnang2.substack.com,taekim.substack.com",70
META,7,"newsletter.semianalysis.com,www.citriniresearch.com,www.techinvestments.io,tacticzhazel.substack.com,cloudedjudgement.substack.com,damnang2.substack.com,taekim.substack.com",47
SSNLF,6,"newsletter.semianalysis.com,www.techinvestments.io,tacticzhazel.substack.com,cloudedjudgement.substack.com,damnang2.substack.com,taekim.substack.com",192
ARM,6,"newsletter.semianalysis.com,www.citriniresearch.com,www.techinvestments.io,tacticzhazel.substack.com,damnang2.substack.com,taekim.substack.com",81
MU,6,"newsletter.semianalysis.com,www.citriniresearch.com,www.techinvestments.io,cloudedjudgement.substack.com,damnang2.substack.com,taekim.substack.com",52
AVGO,6,"newsletter.semianalysis.com,www.citriniresearch.com,www.techinvestments.io,tacticzhazel.substack.com,damnang2.substack.com,taekim.substack.com",43
AAPL,6,"newsletter.semianalysis.com,www.techinvestments.io,tacticzhazel.substack.com,cloudedjudgement.substack.com,damnang2.substack.com,taekim.substack.com",19
AMD,5,"newsletter.semianalysis.com,www.techinvestments.io,tacticzhazel.substack.com,damnang2.substack.com,taekim.substack.com",217
TSM,5,"newsletter.semianalysis.com,www.techinvestments.io,tacticzhazel.substack.com,damnang2.substack.com,taekim.substack.com",168
MRVL,5,"newsletter.semianalysis.com,www.techinvestments.io,tacticzhazel.substack.com,damnang2.substack.com,taekim.substack.com",60
TSLA,5,"newsletter.semianalysis.com,www.techinvestments.io,tacticzhazel.substack.com,damnang2.substack.com,taekim.substack.com",12
INTC,4,"newsletter.semianalysis.com,www.techinvestments.io,damnang2.substack.com,taekim.substack.com",246
ORCL,4,"newsletter.semianalysis.com,www.techinvestments.io,tacticzhazel.substack.com,damnang2.substack.com",23
QCOM,4,"newsletter.semianalysis.com,www.techinvestments.io,damnang2.substack.com,taekim.substack.com",15
IBM,4,"newsletter.semianalysis.com,tacticzhazel.substack.com,damnang2.substack.com,taekim.substack.com",7
COHR,3,"newsletter.semianalysis.com,tacticzhazel.substack.com,damnang2.substack.com",47
LITE,3,"www.citriniresearch.com,tacticzhazel.substack.com,damnang2.substack.com",30
CSCO,3,"newsletter.semianalysis.com,tacticzhazel.substack.com,damnang2.substack.com",23
ASML,3,"www.techinvestments.io,tacticzhazel.substack.com,damnang2.substack.com",12
DELL,3,"newsletter.semianalysis.com,damnang2.substack.com,taekim.substack.com",11
SAP,3,"cloudedjudgement.substack.com,www.techinvestments.io,taekim.substack.com",10
NOW,3,"www.citriniresearch.com,www.techinvestments.io,cloudedjudgement.substack.com",7
CIEN,3,"www.citriniresearch.com,tacticzhazel.substack.com,damnang2.substack.com",3
ZM,3,"newsletter.semianalysis.com,www.citriniresearch.com,tacticzhazel.substack.com",3
MS,2,"damnang2.substack.com,taekim.substack.com",7
SNOW,2,"www.techinvestments.io,cloudedjudgement.substack.com",7
AMKR,2,"www.citriniresearch.com,newsletter.semianalysis.com",6
NET,2,"newsletter.semianalysis.com,cloudedjudgement.substack.com",5
UBER,2,"www.citriniresearch.com,www.techinvestments.io",5
ELS,2,"newsletter.semianalysis.com,damnang2.substack.com",4
MDB,2,"www.techinvestments.io,cloudedjudgement.substack.com",4
PD,2,"newsletter.semianalysis.com,damnang2.substack.com",4
CRM,2,"newsletter.semianalysis.com,www.citriniresearch.com",3
SPOT,2,"www.techinvestments.io,tacticzhazel.substack.com",3
ANET,2,"newsletter.semianalysis.com,tacticzhazel.substack.com",2
ASAN,2,"www.citriniresearch.com,cloudedjudgement.substack.com",2
PLTR,2,"www.techinvestments.io,cloudedjudgement.substack.com",2
UPST,2,"www.citriniresearch.com,tacticzhazel.substack.com",2
WDC,2,"cloudedjudgement.substack.com,damnang2.substack.com",2
